tanggal_nabung,nama_goal,target_nominal,nominal_nabung,total_terkumpul,sisa_target,estimasi_sisa_nabung,user_segment,frekuensi_bulanan,frekuensi_mingguan,frekuensi_harian,frekuensi_nabung
2020-07-30,bayar kosan tahunan,16.450273035032662,11.289794413577894,13.429849547739444,16.400262618136768,166,2,7,2,1,63
2020-11-07,rakit pc gaming,16.460975954847182,12.429220196836383,15.436877238892087,16.016063036135133,37,2,8,2,1,46
2020-12-26,dp motor baru,15.507449876072164,13.567050480716235,15.507449876072164,0.0,0,1,5,1,1,25
2024-08-15,modal nikah/tunangan,17.993889864452772,11.156264806643742,17.868685860515445,15.85413023533218,110,2,13,4,2,207
2022-01-23,beli laptop skripsi,15.884901890053227,14.077875591662238,14.98178180663263,15.365198678306802,4,1,4,1,1,26
2022-05-19,bayar kosan tahunan,16.62852125472698,11.51293546492023,15.636828991246158,16.164979332277014,105,2,7,1,1,51
2022-02-15,modal nikah/tunangan,18.39546550506666,9.90353755128617,14.04662307257814,18.38245954152178,4813,2,4,2,1,318
2021-07-22,tiket dwp / pestapora,14.462614323582885,12.577639650232573,13.122365377402328,14.159100971573958,5,1,7,3,1,8
2022-04-03,beli kamera analog/mirrorless,15.86706702468927,13.060490101343552,15.86706702468927,0.0,0,1,1,2,1,24
2020-08-31,beli ipad/tablet nugas,15.598901945589025,11.289794413577894,14.180154365996387,15.321807933208326,57,1,9,2,1,19
2022-03-14,servis turun mesin,14.759416845976386,11.289794413577894,12.577639650232573,14.639686439527019,29,1,7,2,1,20
2022-03-09,servis turun mesin,14.782494784382012,11.407576060361786,13.937729075643883,14.220976332738882,17,1,4,2,1,8
2024-04-22,modal nikah/tunangan,18.2693926413719,11.289794413577894,18.0520778150339,16.636294088612985,210,2,18,5,1,304
2022-02-12,beli kamera analog/mirrorless,15.015475642097446,11.982935344196433,12.706850963741102,14.910784279814974,19,1,6,2,1,6
2021-05-02,sewa server/vps tahunan,14.419827071265543,9.210440366976517,9.210440366976517,14.414347608503377,182,1,7,1,1,8
2024-03-23,modal nikah/tunangan,18.2693926413719,11.156264806643742,18.013614369501266,16.780783675579947,278,2,13,4,2,304
2022-03-15,beli magic com & dispenser,13.270785106659046,9.90353755128617,12.345838935721968,12.765691290604371,18,0,6,2,1,6
2022-06-11,modal nikah/tunangan,18.29102754710983,11.51293546492023,16.84177208504969,18.023481395137757,673,2,5,2,1,323
2021-05-11,bayar ukt semester depan,15.797890524542016,12.25486757159303,15.769955751112475,12.206077645517674,1,1,3,1,1,18
2021-08-18,rakit pc gaming,16.155391532041126,11.289794413577894,15.46609060566811,15.458383439908191,65,2,7,1,1,25
2020-04-14,beli emas antam,15.48886198375927,11.289794413577894,13.235693848424024,15.377857072508109,60,1,6,3,1,18
2021-01-11,beli ipad/tablet nugas,15.646490900602007,14.077875591662238,15.18922639004183,14.64406281221155,2,1,7,3,1,24
2022-01-10,beli game steam/ps,12.706850963741102,10.308985993422082,10.596659732783579,12.577639650232573,10,0,3,1,1,3
2022-03-15,beli motor bekas,16.0625830467363,12.100717685412471,15.276448694098464,15.454507466814658,29,1,8,1,1,21
2021-07-27,modif motor/ganti knalpot,14.699278511355924,12.54254845357358,14.547878932446617,12.73670383776449,2,1,7,2,1,19
2020-04-23,beli motor bekas,16.07309838963009,11.407576060361786,14.887094516710158,15.708622672055014,74,1,8,4,1,30
2022-05-16,rakit pc gaming,16.892361928907253,11.982935344196433,15.416916500313993,16.632714132735867,105,2,7,2,1,81
2021-05-27,liburan ke bali/jogja,14.682611465815636,13.592368256649284,14.682611465815636,0.0,0,1,6,1,1,6
2021-09-26,modal nikah/tunangan,16.556995599627253,10.596659732783579,16.14376349517278,15.473738825043979,132,2,6,1,1,62
2022-07-01,liburan ke bali/jogja,15.35880888156902,12.429220196836383,15.339390799901627,11.407576060361786,1,1,2,2,1,52
2022-05-03,nabung bayar utang/pinjol,15.308414878861498,10.819798284210286,14.635290829986122,14.594835893480763,44,1,5,2,1,20
2022-03-13,upgrade hp baru,15.667110184534206,9.90353755128617,14.030622744032508,15.450616412078707,257,1,5,2,1,18
2022-04-26,dp motor baru,15.41084974885861,11.982935344196433,15.35666984377782,12.468440756144114,2,1,6,1,1,30
2020-12-31,modif motor/ganti knalpot,14.759416845976386,11.289794413577894,14.759416845976386,0.0,0,1,9,2,1,14
2024-03-11,modal nikah/tunangan,17.993889864452772,10.819798284210286,17.750664000323976,16.460975954847182,282,2,16,2,1,207
2022-01-09,kursus bootcamp it/data science,14.956543882005104,9.210440366976517,12.206077645517674,14.89051332229012,293,1,7,2,1,14
